SideEffect,Disease,Pvalue
metabolic acidosis,"Leukemia, Lymphocytic, Chronic, B-Cell",0.00050836
dysphagia,Alzheimer Disease,0.000509016
dysphagia,Cystitis,0.000509016
urinary retention,Muscle Spasticity,0.000509016
goiter,"Epilepsies, Partial",0.000509021
goiter,Panic Disorder,0.000509021
acute renal failure,Bronchitis,0.000510917
dysarthria,"Epilepsies, Partial",0.000511392
pneumonia,Breast Neoplasms,0.000512188
stomatitis,Breast Neoplasms,0.000512188
amnesia,Depressive Disorder,0.000515585
optic neuritis,Urinary Bladder Neoplasms,0.000518095
hyperpigmentation,Sarcoma,0.000518095
interstitial pneumonitis,Mycosis Fungoides,0.000518095
cholelithiasis,Helicobacter Infections,0.000519281
hyperacusis,Attention Deficit Disorder with Hyperactivity,0.00051978
Parkinson,Vomiting,0.00051978
myelofibrosis,"Lymphoma, Non-Hodgkin",0.000519786
retinal degeneration,Duodenal Ulcer,0.000519786
sleep apnea,Autistic Disorder,0.000519786
ureteral obstruction,Lymphoma,0.000519786
ureteral obstruction,Uterine Neoplasms,0.000519786
cerebral thrombosis,Amenorrhea,0.000519786
generalized seizures,"Lymphoma, Non-Hodgkin",0.000519786
interstitial nephritis,Soft Tissue Infections,0.000520071
colitis,Pyelonephritis,0.000522383
cystitis,"Spondylitis, Ankylosing",0.000522383
ecchymosis,Graft vs Host Disease,0.000522383
ecchymosis,Hematologic Diseases,0.000522383
ecchymosis,Neoplasms,0.000522383
ecchymosis,"Spondylitis, Ankylosing",0.000522383
esophagitis,Graft vs Host Disease,0.000522383
esophagitis,Hematologic Diseases,0.000522383
esophagitis,Neoplasms,0.000522383
esophagitis,"Spondylitis, Ankylosing",0.000522383
vaginitis,Acinetobacter Infections,0.000522383
pelvic pain,Obsessive-Compulsive Disorder,0.000522665
oral moniliasis,Soft Tissue Infections,0.000522763
gynecomastia,Helicobacter Infections,0.000523269
neck pain,Bipolar Disorder,0.000529769
paralysis,Bipolar Disorder,0.000529769
hearing loss,"Arthritis, Juvenile Rheumatoid",0.000531632
edema,Nephrotic Syndrome,0.000532984
alopecia,Osteoarthritis,0.00053655
vaginal hemorrhage,Autistic Disorder,0.000536562
leukopenia,Haemophilus Infections,0.000536865
vertigo,"Epilepsies, Partial",0.000539207
rhabdomyolysis,Acquired Immunodeficiency Syndrome,0.00054252
gastritis,Dysmenorrhea,0.00054357
hemolytic anemia,Peritonitis,0.000551417
hemolytic anemia,Sepsis,0.000551417
neutropenia,Diabetic Nephropathies,0.000551517
neutropenia,"Ventricular Dysfunction, Left",0.000551517
hyponatremia,Schizophrenia,0.000552704
bradycardia,Pain,0.000554307
Diaper rash,"Skin Diseases, Bacterial",0.000555282
fasciitis,Inflammation,0.000555282
renal papillary necrosis,Inflammation,0.000555282
impotence,Duodenal Ulcer,0.000555406
cryptococcosis,Leukemia,0.0005556
dermatomyositis,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.0005556
paraplegia,Rheumatic Diseases,0.0005556
spinal cord disease,Multiple Myeloma,0.0005556
polyneuropathy,Sarcoma,0.0005556
autonomic neuropathy,Multiple Myeloma,0.0005556
moniliasis,Otitis Media,0.00055854
pancytopenia,Psychotic Disorders,0.000558886
urinary retention,Panic Disorder,0.000559531
albuminuria,Cystitis,0.000562759
postural hypotension,Edema,0.00056425
postural hypotension,Myocardial Infarction,0.00056425
ulcerative colitis,Inflammation,0.000566118
hypothermia,Bipolar Disorder,0.000566118
miliaria,Asthma,0.000566118
mastitis,Eating Disorders,0.000567116
choreoathetosis,Eating Disorders,0.000567116
choreoathetosis,Phobic Disorders,0.000567116
latent diabetes,Addison Disease,0.000567116
latent diabetes,Autoimmune Diseases,0.000567116
latent diabetes,Collagen Diseases,0.000567116
latent diabetes,Skin Diseases,0.000567116
weakness,Inflammation,0.000568547
salivary gland enlargement,Panic Disorder,0.000568831
AV block first degree,"Tachycardia, Supraventricular",0.000568831
hypochloremia,Nephrotic Syndrome,0.000568831
upper respiratory tract infection,Obsessive-Compulsive Disorder,0.000570147
heart block,Enuresis,0.000572333
myopathy,Adrenal Insufficiency,0.000572333
myopathy,Hypersensitivity,0.000572333
seborrhea,Autistic Disorder,0.000572333
pericarditis,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.000572814
bronchitis,Alzheimer Disease,0.000573652
eructation,Depressive Disorder,0.000574568
dysmenorrhea,Helicobacter Infections,0.000577899
halitosis,Depressive Disorder,0.000578652
sinus congestion,Asthma,0.000578652
agitation,"Epilepsies, Partial",0.000579727
anemia,Lung Neoplasms,0.000581733
anemia,Ovarian Neoplasms,0.000581733
serum sickness,Helicobacter Infections,0.000583963
leukocytosis,Psychotic Disorders,0.000590184
aplastic anemia,Otitis Media,0.000590234
lymphocytosis,Escherichia coli Infections,0.000594024
gynecomastia,Stomach Ulcer,0.000595845
urinary tract infection,Alzheimer Disease,0.000596598
pulmonary embolism,"Carcinoma, Non-Small-Cell Lung",0.000600639
pulmonary embolism,Pancreatic Neoplasms,0.000600639
mouth ulceration,Cystitis,0.000600639
abdominal pain,Anxiety Disorders,0.0006019
cholecystitis,Depressive Disorder,0.000601958
priapism,Depressive Disorder,0.000601958
acute renal failure,Haemophilus Infections,0.000603827
retinal hemorrhage,Obsessive-Compulsive Disorder,0.00060486
uterine hemorrhage,Obsessive-Compulsive Disorder,0.00060486
drug dependence,Obsessive-Compulsive Disorder,0.00060486
dry eyes,"Glaucoma, Open-Angle",0.000606506
ischemic colitis,Heart Failure,0.000606665
heart block,Hypertension,0.000606688
leukocytosis,Obsessive-Compulsive Disorder,0.00060687
ulcerative colitis,Gastroesophageal Reflux,0.000607835
melanoma,Parkinson Disease,0.000607835
retinal detachment,AIDS-Related Opportunistic Infections,0.000607835
splenomegaly,AIDS-Related Opportunistic Infections,0.000607835
strabismus,Bipolar Disorder,0.000607835
urinary tract infection,Urinary Tract Infections,0.000608544
tooth caries,Attention Deficit Disorder with Hyperactivity,0.000608924
paranoia,Parkinson Disease,0.000608924
rhabdomyolysis,Autistic Disorder,0.000609659
arrhythmia,Obsessive-Compulsive Disorder,0.000611927
back pain,Obsessive-Compulsive Disorder,0.000611927
hair disorder,Urinary Incontinence,0.000616604
anaphylactoid purpura,Syphilis,0.000616604
acidosis,Pain,0.000617969
breast enlargement,Pain,0.000617969
hyperesthesia,Depressive Disorder,0.000619184
toxic epidermal necrolysis,Peritonitis,0.000620273
toxic epidermal necrolysis,Sepsis,0.000620273
aseptic meningitis,"Arthritis, Rheumatoid",0.000620607
epigastric pain,Osteoarthritis,0.000620607
impotence,Gastroesophageal Reflux,0.000622153
coma,"Spondylitis, Ankylosing",0.000627234
coma,"Stress Disorders, Post-Traumatic",0.000627234
weight gain,Urinary Tract Infections,0.000627426
hyponatremia,Multiple Myeloma,0.000627873
paresthesia,Diabetic Nephropathies,0.000629056
paresthesia,"Ventricular Dysfunction, Left",0.000629056
anorexia,Lung Neoplasms,0.000630411
anorexia,Ovarian Neoplasms,0.000630411
priapism,Urinary Retention,0.000631198
sneezing,Opioid-Related Disorders,0.000631198
alopecia,"Lymphoma, Non-Hodgkin",0.000634493
neutropenia,"Lymphoma, Non-Hodgkin",0.00063472
Stevens - Johnson syndrome,Neutropenia,0.000634859
Stevens - Johnson syndrome,Pharyngitis,0.000634859
colitis,Panic Disorder,0.000635409
esophagitis,"Epilepsies, Partial",0.000635409
vaginitis,Sinusitis,0.000635409
leukopenia,Hodgkin Disease,0.000637048
bronchospasm,Hypertension,0.000638057
neutropenia,Acquired Immunodeficiency Syndrome,0.000639123
vaginal moniliasis,Septicemia,0.000641347
melena,Bipolar Disorder,0.00064267
alopecia,Klebsiella Infections,0.000652496
melena,"Arthritis, Rheumatoid",0.000652536
hepatic failure,"Arthritis, Rheumatoid",0.000652536
renal insufficiency,Heart Failure,0.000654356
aseptic meningitis,Photophobia,0.000654365
abnormal vision,Hypertension,0.000656418
hepatitis,"Arthritis, Juvenile Rheumatoid",0.000657002
hepatitis,Dysmenorrhea,0.000657002
hepatitis,Obsessive-Compulsive Disorder,0.000657002
dry mouth,Diabetic Nephropathies,0.000660159
dry mouth,"Ventricular Dysfunction, Left",0.000660159
postural hypotension,"Hypertension, Malignant",0.000660334
congestive heart failure,Ventricular Fibrillation,0.000660957
urinary tract infection,Diabetic Nephropathies,0.000661473
urinary tract infection,"Ventricular Dysfunction, Left",0.000661473
anisocoria,Panic Disorder,0.000667502
arachnoiditis,Adrenal Insufficiency,0.000667502
arachnoiditis,Hypersensitivity,0.000667502
basal cell carcinoma,"Dermatitis, Atopic",0.000667502
petit mal,Anxiety Disorders,0.000667502
petit mal,Nausea,0.000667502
ovarian cyst,Amenorrhea,0.000667502
telangiectasia,Dermatitis,0.000667502
AV block first degree,Autistic Disorder,0.000667502
generalized seizures,Testicular Neoplasms,0.000667502
tachycardia,"Diabetes Mellitus, Type 2",0.000669041
postural hypotension,Alzheimer Disease,0.000669876
hyperpigmentation,Testicular Neoplasms,0.000671375
amenorrhea,"Epilepsies, Partial",0.000671573
amenorrhea,Panic Disorder,0.000671573
nystagmus,Panic Disorder,0.000671573
carcinoma,Helicobacter Infections,0.000672448
myasthenia gravis,Haemophilus Infections,0.000672448
amnesia,Panic Disorder,0.00067836
anaphylaxis,Zollinger-Ellison Syndrome,0.000680587
alopecia,"Pneumonia, Bacterial",0.000682932
pneumonia,Proteus Infections,0.000686949
hemolytic anemia,"Arthritis, Juvenile Rheumatoid",0.000687317
hematemesis,Autistic Disorder,0.00068911
proteinuria,Bursitis,0.00068911
abnormal gait,Autistic Disorder,0.00068911
nocturia,"Angina Pectoris, Variant",0.000690142
peripheral neuropathy,Coronary Artery Disease,0.000690142
peripheral neuropathy,Hyperlipoproteinemias,0.000690142
peripheral neuropathy,Hypertriglyceridemia,0.000690142
ascites,Ovarian Neoplasms,0.000690508
sinus bradycardia,"Tachycardia, Supraventricular",0.000690508
cardiomyopathy,Rheumatic Diseases,0.000693357
thrombocytopenia,Bronchial Spasm,0.00069554
confusion,Osteoarthritis,0.000695971
nocturia,Attention Deficit Disorder with Hyperactivity,0.000700421
hypotension,Schizophrenia,0.00070385
enterocolitis,Gram-Positive Bacterial Infections,0.000704451
pseudotumor cerebri,Gram-Positive Bacterial Infections,0.000704451
neutropenia,Lung Neoplasms,0.000706166
cholelithiasis,Zollinger-Ellison Syndrome,0.000707505
nephropathy,Septicemia,0.000707505
blindness,Neuroblastoma,0.000707505
toxic epidermal necrolysis,Bronchitis,0.000707539
hypoglycemia,Schizophrenia,0.00070788
gynecomastia,Heartburn,0.00071567
transient ischemic attack,Alzheimer Disease,0.000717215
hypertriglyceridemia,"Candidiasis, Chronic Mucocutaneous",0.000717215
hypertriglyceridemia,"Candidiasis, Oral",0.000717215
tendinitis,Cystitis,0.000717215
eczema,Depressive Disorder,0.000718882
exfoliative dermatitis,"Arthritis, Juvenile Rheumatoid",0.000719491
exfoliative dermatitis,Dysmenorrhea,0.000719491
neutropenia,Otitis Media,0.000721163
vertigo,Nephrotic Syndrome,0.000721483
constipation,Osteoarthritis,0.000722232
constipation,Psychotic Disorders,0.000722232
constipation,Schizophrenia,0.000722232
papilledema,Inflammation,0.00072317
pseudotumor cerebri,Inflammation,0.00072317
drug dependence,Depressive Disorder,0.000725099
Diabetic ketoacidosis,Schizophrenia,0.000730512
epididymitis,Obsessive-Compulsive Disorder,0.000730512
Vestibular Disorders,Obsessive-Compulsive Disorder,0.000730512
intestinal ulcer,"Arthritis, Rheumatoid",0.000730512
intestinal ulcer,Osteoarthritis,0.000730512
neutropenia,Breast Neoplasms,0.000730611
neuropathy,Multiple Myeloma,0.000732139
thrombocytopenia,"Arthritis, Rheumatoid",0.000732863
thrombocytopenia,Osteoarthritis,0.000732863
AV block first degree,Atrial Fibrillation,0.000733534
dehydration,Bipolar Disorder,0.000734066
neuropathy,Acquired Immunodeficiency Syndrome,0.000743129
rhinorrhea,Asthma,0.000743635
myocarditis,Nocardia Infections,0.000747845
porphyria,Endometrial Hyperplasia,0.000747845
porphyria,"Epilepsy, Complex Partial",0.000747845
porphyria,Uterine Hemorrhage,0.000747845
pulmonary embolism and infarction,Diabetic Nephropathies,0.000747845
pulmonary embolism and infarction,"Ventricular Dysfunction, Left",0.000747845
sinus tachycardia,Pulmonary Emphysema,0.000747845
multifocal atrial tachycardia,Bronchitis,0.000747845
vaginal moniliasis,Respiratory Tract Infections,0.000748058
pruritus,Urticaria,0.000748638
rhinitis,Bipolar Disorder,0.000748638
ataxia,Alzheimer Disease,0.000750184
eosinophilia,Otitis Media,0.000757005
pneumonia,Streptococcal Infections,0.000763402
urinary incontinence,Schizophrenia,0.000767116
abdominal pain,Klebsiella Infections,0.00076986
stomatitis,"Arthritis, Rheumatoid",0.000770927
hyperuricemia,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0.000771202
hyperuricemia,Rhabdomyosarcoma,0.000771202
elevated liver function tests,Breast Neoplasms,0.000771686
leukopenia,Escherichia coli Infections,0.000774402
abdominal distention,Adrenal Insufficiency,0.000775178
abdominal distention,Hypersensitivity,0.000775178
adrenal insufficiency,Rheumatic Diseases,0.000775997
HIV infection,"Pneumonia, Pneumocystis",0.000775997
osteomyelitis,"Osteoporosis, Postmenopausal",0.000775997
osteomyelitis,"Paget Disease, Extramammary",0.000775997
emphysema,Obsessive-Compulsive Disorder,0.000775997
refraction disorder,Coronary Artery Disease,0.000775997
refraction disorder,Hyperlipoproteinemias,0.000775997
refraction disorder,Hypertriglyceridemia,0.000775997
rheumatism,"Arthritis, Juvenile Rheumatoid",0.000775997
spinal cord disease,Neuroblastoma,0.000775997
Aseptic necrosis,Graft vs Host Disease,0.000775997
acute leukemia,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",0.000775997
acute leukemia,Urinary Bladder Neoplasms,0.000775997
alcohol abuse,Obsessive-Compulsive Disorder,0.000775997
autonomic neuropathy,Neuroblastoma,0.000775997
gastroesophageal reflux,Obsessive-Compulsive Disorder,0.000778478
serum sickness,"Arthritis, Juvenile Rheumatoid",0.000778478
vasculitis,"Spondylitis, Ankylosing",0.000779612
agitation,Urticaria,0.000784795
hyperuricemia,"Lymphoma, Non-Hodgkin",0.000785196
somnolence,"Diabetes Mellitus, Type 2",0.000785297
chest pain,Bipolar Disorder,0.000787522
hypertension,Bipolar Disorder,0.000787522
lupus,Schizophrenia,0.000789114
glossitis,Gonorrhea,0.000791502
myasthenia gravis,Proteus Infections,0.000792401
hyperacusis,Bipolar Disorder,0.000792401
chest pain substernal,Helicobacter Infections,0.000792401
thrombophlebitis,Pseudomonas Infections,0.000793545
pancreatitis,Diabetic Nephropathies,0.000795968
pancreatitis,"Ventricular Dysfunction, Left",0.000795968
apnea,"Epilepsies, Partial",0.000798066
postural hypotension,Panic Disorder,0.00080247
breast cancer,Parkinson Disease,0.000802856
gastritis,"Arthritis, Rheumatoid",0.000802907
photosensitivity,Heart Failure,0.000804832
viral infection,"Rhinitis, Allergic, Perennial",0.000805092
bone pain,Bipolar Disorder,0.000806452
Diaper rash,Soft Tissue Infections,0.000808548
paranoia,Cystitis,0.000808548
sore throat,"Tachycardia, Supraventricular",0.000809249
sore throat,"Tachycardia, Ventricular",0.000809249
shock,Depressive Disorder,0.000809312
infection,Dysmenorrhea,0.000809712
jaundice,Coronary Artery Disease,0.000809712
jaundice,Hyperlipoproteinemias,0.000809712
jaundice,Hypertriglyceridemia,0.000809712
somnolence,Psychotic Disorders,0.000812728
melena,"Spondylitis, Ankylosing",0.000813144
hepatic failure,"Spondylitis, Ankylosing",0.000813144
acne,"Stress Disorders, Post-Traumatic",0.000813144
fibrosis,Melanoma,0.000818516
fibrosis,Multiple Myeloma,0.000818516
hypopigmentation,Pruritus,0.000818516
myelodysplastic syndrome,Breast Neoplasms,0.000819442
pulmonary fibrosis,Hodgkin Disease,0.000819442
syncope,Bipolar Disorder,0.000820895
sweating,Bipolar Disorder,0.000822448
convulsions,"Arthritis, Juvenile Rheumatoid",0.000823481
exophthalmos,Inflammation,0.000826205
ulcerative colitis,Helicobacter Infections,0.00082684
polydipsia,Bipolar Disorder,0.00082684
leukopenia,Psychotic Disorders,0.000826914
musculoskeletal pain,"Osteoporosis, Postmenopausal",0.000829445
musculoskeletal pain,"Paget Disease, Extramammary",0.000829445
galactorrhea,"Stress Disorders, Post-Traumatic",0.000829445
bruxism,Autistic Disorder,0.000833384
bruxism,Tobacco Use Disorder,0.000833384
petit mal,Vomiting,0.000833384
hyperprolactinemia,Dementia,0.000833384
myelodysplastic syndrome,Lymphoma,0.000833384
obesity,Dementia,0.000833384
retinal degeneration,Gastroesophageal Reflux,0.000833384
uterine fibroids,Trigeminal Neuralgia,0.000833384
generalized seizures,Hodgkin Disease,0.000833384
tinnitus,"Arthritis, Juvenile Rheumatoid",0.000837911
tinnitus,Dysmenorrhea,0.000837911
tinnitus,Obsessive-Compulsive Disorder,0.000837911
urinary frequency,Alzheimer Disease,0.000838015
SIADH,"Diabetes Mellitus, Type 2",0.000842725
epididymitis,Phobic Disorders,0.000847558
hepatorenal syndrome,Osteoarthritis,0.000847558
herpes,Herpes Zoster,0.000847558
methemoglobinemia,"Esophageal Spasm, Diffuse",0.000847558
methemoglobinemia,Intraoperative Complications,0.000847558
methemoglobinemia,Nocardia Infections,0.000847558
neuromyopathy,"Arthritis, Rheumatoid",0.000847558
